iter	Passed	Remaining
0	0	41
1	0	44
2	1	43
3	1	40
4	2	40
5	2	40
6	3	40
7	3	40
8	3	39
9	4	39
10	4	38
11	5	38
12	5	37
13	6	37
14	6	36
15	6	36
16	7	35
17	7	35
18	8	34
19	8	34
20	8	33
21	9	33
22	9	32
23	10	32
24	10	31
25	11	31
26	11	31
27	11	30
28	12	30
29	12	29
30	13	29
31	13	28
32	14	28
33	14	27
34	14	27
35	15	27
36	15	26
37	15	25
38	16	25
39	16	24
40	16	24
41	17	23
42	17	23
43	17	22
44	18	22
45	18	21
46	18	21
47	19	20
48	19	20
49	19	19
50	20	19
51	20	19
52	21	18
53	21	18
54	21	17
55	21	17
56	22	16
57	22	16
58	22	15
59	23	15
60	23	15
61	23	14
62	24	14
63	24	13
64	24	13
65	25	12
66	25	12
67	25	12
68	26	11
69	26	11
70	26	10
71	27	10
72	27	10
73	27	9
74	28	9
75	28	8
76	28	8
77	28	8
78	29	7
79	29	7
80	29	6
81	30	6
82	30	6
83	30	5
84	30	5
85	31	5
86	31	4
87	31	4
88	32	3
89	32	3
90	32	3
91	33	2
92	33	2
93	33	2
94	33	1
95	34	1
96	34	1
97	34	0
98	34	0
99	35	0
