iter	Passed	Remaining
0	49	49704
1	51	25600
2	52	17471
3	53	13399
4	55	10954
5	56	9289
6	57	8105
7	58	7216
8	60	6712
9	62	6138
10	63	5669
11	64	5290
12	65	4960
13	66	4679
14	67	4434
15	68	4216
16	69	4039
17	70	3870
18	71	3710
19	72	3571
20	73	3444
21	75	3336
22	76	3231
23	77	3134
24	78	3049
25	79	2966
26	80	2888
27	81	2816
28	82	2747
29	83	2685
30	84	2626
31	84	2569
32	85	2516
33	86	2466
34	87	2418
35	88	2372
36	89	2334
37	90	2296
38	91	2258
39	92	2222
40	93	2189
41	94	2156
42	95	2125
43	96	2096
44	97	2069
45	98	2043
46	99	2016
47	100	1992
48	101	1970
49	102	1947
50	104	1941
51	104	1910
52	105	1890
53	106	1871
54	107	1843
55	108	1824
56	109	1808
57	110	1789
58	111	1772
59	112	1756
60	113	1740
61	114	1725
62	114	1709
63	115	1694
64	116	1678
65	117	1662
66	118	1648
67	119	1633
68	119	1618
69	120	1602
70	121	1588
71	122	1572
72	122	1558
73	123	1543
74	124	1529
75	124	1514
76	125	1500
77	125	1486
78	126	1472
79	126	1459
80	127	1446
81	128	1433
82	128	1417
83	128	1404
84	129	1393
85	129	1380
86	130	1368
87	130	1356
88	131	1344
89	131	1332
90	132	1321
91	132	1309
92	133	1298
93	133	1287
94	133	1276
95	134	1265
96	134	1254
97	135	1243
98	135	1233
99	135	1223
100	136	1212
101	136	1202
102	136	1192
103	137	1182
104	137	1172
105	137	1162
106	138	1153
107	138	1144
108	138	1135
109	139	1126
110	139	1117
111	139	1108
112	140	1099
113	140	1090
114	140	1082
115	140	1073
116	141	1065
117	141	1057
118	141	1049
119	142	1041
120	142	1033
121	142	1025
122	142	1017
123	143	1010
124	143	1002
125	143	995
126	143	987
127	143	980
128	144	973
129	144	966
130	144	959
131	144	952
132	145	945
133	145	938
134	145	931
135	145	925
136	145	918
137	146	912
138	146	906
139	146	899
140	146	893
141	146	886
142	146	880
143	147	874
144	147	868
145	147	863
146	147	857
147	147	851
148	148	846
149	148	840
150	148	835
151	148	829
152	148	824
153	149	819
154	149	813
155	149	808
156	149	803
157	149	798
158	150	793
159	150	788
160	150	783
161	150	778
162	150	774
163	150	769
164	151	764
165	151	760
166	151	755
167	151	751
168	151	746
169	152	742
170	152	738
171	152	733
172	152	729
173	152	725
174	152	721
175	153	717
176	153	713
177	153	709
178	153	705
179	153	701
180	154	697
181	154	693
182	154	689
183	154	685
184	154	682
185	155	678
186	155	674
187	155	671
188	155	668
189	156	665
190	156	661
191	156	658
192	156	654
193	156	651
194	156	647
195	157	644
196	157	641
197	157	638
198	157	634
199	157	631
200	158	628
201	158	625
202	158	622
203	158	619
204	158	616
205	159	613
206	159	610
207	159	607
208	159	604
209	159	601
210	160	598
211	160	595
212	160	592
213	160	590
214	160	587
215	161	584
216	161	581
217	161	578
218	161	576
219	161	573
220	161	570
221	162	568
222	162	565
223	162	563
224	162	560
225	162	557
226	163	555
227	163	552
228	163	550
229	163	547
230	163	545
231	163	542
232	164	540
233	164	538
234	164	535
235	164	533
236	164	530
237	165	528
238	165	526
239	165	523
240	165	521
241	165	519
242	166	517
243	166	515
244	166	512
245	166	510
246	166	508
247	166	506
248	167	504
249	167	502
250	167	500
251	167	498
252	167	495
253	168	493
254	168	491
255	168	489
256	168	487
257	168	485
258	169	483
259	169	481
260	169	480
261	169	478
262	169	476
263	170	474
264	170	472
265	170	470
266	170	468
267	170	466
268	171	464
269	171	463
270	171	461
271	171	459
272	171	457
273	172	455
274	172	454
275	172	452
276	172	450
277	172	448
278	173	447
279	173	445
280	173	443
281	173	441
282	173	440
283	173	438
284	174	436
285	174	435
286	174	433
287	174	431
288	174	430
289	175	428
290	175	427
291	175	425
292	175	423
293	175	422
294	176	420
295	176	419
296	176	417
297	176	416
